,image,Q,A
1,synpic43984,is this a t1 weighted image?,no
3,synpic52143,is this a noncontrast mri?,no
8,synpic22829,was the ct scan taken with contrast?,yes
12,synpic28004,is this a ct scan?,yes
13,synpic51949,is this an mri image?,no
14,synpic45041,was gi contrast given to the patient?,no
15,synpic13026,was gi contrast given to the patient?,no
17,synpic21981,is this a ct scan?,no
20,synpic20556,is this an mri image?,no
22,synpic41586,is this a ct scan?,yes
24,synpic20868,is this a ct scan?,yes
27,synpic19981,was gi contrast given to the patient?,no
30,synpic43008,is this a ct scan?,no
31,synpic23493,is 	this a t1 weighted image?,yes
33,synpic26174,is this a ct scan?,yes
37,synpic47538,was gi contrast given to the patient?,no
41,synpic58842,is this a noncontrast ct?,yes
42,synpic38409,is this a ct scan?,yes
45,synpic46206,was the ct scan taken with contrast?,yes
48,synpic57262,is this an mri image?,no
49,synpic28983,was the ct scan taken with contrast?,no
55,synpic48977,is this a noncontrast mri?,no
56,synpic60337,was gi contrast given to the patient?,no
60,synpic30823,was the ct scan taken with contrast?,no
61,synpic49520,is this a noncontrast mri?,no
63,synpic45427,was the ct scan taken with contrast?,no
67,synpic43538,was iv contrast given to the patient?,yes
69,synpic18156,is this a ct scan?,no
72,synpic55500,is this an mri image?,no
76,synpic27214,was the ct scan taken with contrast?,yes
77,synpic48148,is this a ct scan?,yes
79,synpic31686,is this a ct scan?,yes
80,synpic33358,is this a ct scan?,yes
82,synpic30202,was gi contrast given to the patient?,no
92,synpic25493,is this a noncontrast ct?,no
99,synpic31721,was iv contrast given to the patient?,yes
100,synpic59388,is this a ct scan?,no
105,synpic20385,was gi contrast given to the patient?,no
108,synpic54829,was the ct scan taken with contrast?,no
109,synpic55507,was the ct scan taken with contrast?,no
112,synpic59332,is this a ct scan?,yes
113,synpic42195,is this a noncontrast mri?,yes
116,synpic50047,is this a noncontrast mri?,yes
119,synpic40860,is 	this a t1 weighted image?,yes
128,synpic17734,is this a ct scan?,yes
129,synpic21681,is this an mri image?,yes
132,synpic18635,was iv contrast given to the patient?,yes
134,synpic57969,is 	this a t1 weighted image?,yes
135,synpic47786,was iv contrast given to the patient?,yes
137,synpic34133,is this a t2 weighted image?,no
