file_name,QuestionText,answer
synpic43984,is this a t1 weighted image?,no
synpic52143,is this a noncontrast mri?,no
synpic22829,was the ct scan taken with contrast?,yes
synpic28004,is this a ct scan?,yes
synpic51949,is this an mri image?,no
synpic45041,was gi contrast given to the patient?,no
synpic13026,was gi contrast given to the patient?,no
synpic21981,is this a ct scan?,no
synpic20556,is this an mri image?,no
synpic41586,is this a ct scan?,yes
synpic20868,is this a ct scan?,yes
synpic19981,was gi contrast given to the patient?,no
synpic43008,is this a ct scan?,no
synpic23493,is 	this a t1 weighted image?,yes
synpic26174,is this a ct scan?,yes
synpic47538,was gi contrast given to the patient?,no
synpic58842,is this a noncontrast ct?,yes
synpic38409,is this a ct scan?,yes
synpic46206,was the ct scan taken with contrast?,yes
synpic57262,is this an mri image?,no
synpic28983,was the ct scan taken with contrast?,no
synpic48977,is this a noncontrast mri?,no
synpic60337,was gi contrast given to the patient?,no
synpic30823,was the ct scan taken with contrast?,no
synpic49520,is this a noncontrast mri?,no
synpic45427,was the ct scan taken with contrast?,no
synpic43538,was iv contrast given to the patient?,yes
synpic18156,is this a ct scan?,no
synpic55500,is this an mri image?,no
synpic27214,was the ct scan taken with contrast?,yes
synpic48148,is this a ct scan?,yes
synpic31686,is this a ct scan?,yes
synpic33358,is this a ct scan?,yes
synpic30202,was gi contrast given to the patient?,no
synpic25493,is this a noncontrast ct?,no
synpic31721,was iv contrast given to the patient?,yes
synpic59388,is this a ct scan?,no
synpic20385,was gi contrast given to the patient?,no
synpic54829,was the ct scan taken with contrast?,no
synpic55507,was the ct scan taken with contrast?,no
synpic59332,is this a ct scan?,yes
synpic42195,is this a noncontrast mri?,yes
synpic50047,is this a noncontrast mri?,yes
synpic40860,is 	this a t1 weighted image?,yes
synpic17734,is this a ct scan?,yes
synpic21681,is this an mri image?,yes
synpic18635,was iv contrast given to the patient?,yes
synpic57969,is 	this a t1 weighted image?,yes
synpic47786,was iv contrast given to the patient?,yes
synpic34133,is this a t2 weighted image?,no
synpic32301,is this a t1 weighted image?,no
synpic15995,is this a noncontrast ct?,no
synpic19554,was iv contrast given to the patient?,yes
synpic56034,is this a noncontrast mri?,no
synpic40008,is this a noncontrast ct?,yes
synpic56844,is this a noncontrast mri?,no
synpic33179,was gi contrast given to the patient?,no
synpic25275,is this an mri image?,yes
synpic18627,was iv contrast given to the patient?,yes
synpic45446,is this a ct scan?,yes
synpic35745,was the mri taken with contrast?,yes
synpic50024,is this a noncontrast ct?,yes
synpic41562,is this a noncontrast ct?,yes
synpic61222,was iv contrast given to the patient?,yes
